VitiLevu,Malaita,EspiritoSanto,GrandeTerre,Guam,Tarawa,Pohnpei,Saipan,Majuro,Koror,Tuvalu,Nauru,Tahiti,Upolu,Tongatapu,Rarotonga,Wallis,Niue
29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,29.055591289268364,27.30130878133474,27.30130878133474,27.30130878133474,27.30130878133474,27.30130878133474,27.30130878133474
29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,29.04475509662808,27.299727452642458,27.299727452642458,27.299727452642458,27.299727452642458,27.299727452642458,27.299727452642458
29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,29.02623184470235,27.2796512038409,27.2796512038409,27.2796512038409,27.2796512038409,27.2796512038409,27.2796512038409
29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,29.033614083571138,27.239567373811667,27.239567373811667,27.239567373811667,27.239567373811667,27.239567373811667,27.239567373811667
29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,29.039028169306278,27.20366593174782,27.20366593174782,27.20366593174782,27.20366593174782,27.20366593174782,27.20366593174782
29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,29.023281684326093,27.177088707142786,27.177088707142786,27.177088707142786,27.177088707142786,27.177088707142786,27.177088707142786
29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,29.02692148433141,27.168075881884647,27.168075881884647,27.168075881884647,27.168075881884647,27.168075881884647,27.168075881884647
29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,29.02172563399421,27.145273027795326,27.145273027795326,27.145273027795326,27.145273027795326,27.145273027795326,27.145273027795326
29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,29.00861227003827,27.124623509880564,27.124623509880564,27.124623509880564,27.124623509880564,27.124623509880564,27.124623509880564
28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,28.96464193718134,27.11429906193854,27.11429906193854,27.11429906193854,27.11429906193854,27.11429906193854,27.11429906193854
