Latitude,Longitude,Temperature
-0.456,166.625,"[29.905000686645508 29.900999069213867 29.90399932861328
 29.902000427246094 29.892000198364258 29.892000198364258
 29.891000747680664 29.89299964904785 29.893999099731445
 29.881000518798828 29.878999710083008 29.895000457763672
 29.958999633789062 29.97100067138672 29.910999298095703
 29.860000610351562 29.56999969482422 29.065000534057617
 28.812000274658203 28.601999282836914 27.46299934387207
 26.388999938964844 25.802000045776367 25.50200080871582
 25.250999450683594 24.902999877929688 24.305999755859375
 23.725000381469727 22.867000579833984 22.559999465942383
 22.155000686645508 21.917999267578125 21.666000366210938
 21.016000747680664 19.468000411987305 18.64900016784668
 18.243999481201172 17.753000259399414 17.319000244140625
 16.922000885009766 16.17300033569336 15.585000038146973
 15.449999809265137 14.850000381469727 14.595000267028809
 14.420999526977539 13.871999740600586 13.520000457763672
 13.428000450134277 12.772000312805176 12.244000434875488
 11.543999671936035 10.586000442504883 10.053999900817871
 9.545999526977539 9.11299991607666 8.979000091552734 8.79699993133545
 8.317999839782715 7.7170000076293945 7.460000038146973 7.308000087738037
 7.116000175476074 6.767000198364258 6.61899995803833 6.5279998779296875
 6.4039998054504395 6.329999923706055 6.25 5.947000026702881
 5.59499979019165 5.4079999923706055 5.255000114440918 5.186999797821045
 5.110000133514404 5.046999931335449 5.011000156402588 4.765999794006348
 4.5229997634887695 4.4079999923706055 4.303999900817871
 4.2220001220703125 4.172999858856201 4.159999847412109 4.054999828338623
 4.010000228881836 3.933000087738037 3.875 3.75 3.696000099182129
 3.61299991607666 3.49399995803833 3.4089999198913574 3.306999921798706
 3.260999917984009 3.2160000801086426 3.180000066757202 3.0999999046325684]"
-0.456,166.625,"[29.922000885009766 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 -- -- -- -- -- -- --]"
